Attention: While Conda works well in a desktop environment, it tends to create more problems than it solves on a cluster. Instead, we recommend that users use virtual environments and the binary packages that we provide through Python wheels as documented on the Python page.

Due to MODULEPATH changes, the following have been reloaded:
  1) openmpi/2.1.1

The following have been reloaded with a version change:
  1) gcccore/.5.4.0 => gcccore/.7.3.0

+ export CUDA_VISIBLE_DEVICES=0
+ CUDA_VISIBLE_DEVICES=0
+ DATASET_DIR=./data/v21/
+ SAVE_DIR=./outputs/v2_dt_e15_b16_2/
+ python3 train.py --use_dt_only --use_one_optim --n_epochs 15 --batch_size 16 --data_root ./data/v21/ --save_dir ./outputs/v2_dt_e15_b16_2/ --op_code 4
pytorch version:  1.5.0+cu101
Namespace(attention_probs_dropout_prob=0.1, batch_size=16, beam_size=1, bert_ckpt_path='./assets/bert-base-uncased-pytorch_model.bin', bert_config_path='./assets/bert_config_base_uncased.json', data_root='./data/v21/', dec_lr=0.0001, dec_warmup=0.1, decoder_teacher_forcing=1, dev_data='dev_dials.json', dev_data_path='./data/v21/dev_dials.json', dropout=0.1, enc_lr=3e-05, enc_warmup=0.1, eval_epoch=1, exclude_domain=False, forbid_duplicate_ngrams=False, forbid_ignore_word=None, hidden_dropout_prob=0.1, length_penalty=0, max_seq_length=256, min_len=1, msg=None, n_epochs=15, n_history=1, ngram_size=2, no_dial=False, not_shuffle_state=False, num_workers=0, only_pred_op=False, ontology_data='./data/v21/ontology.json', op_code='4', random_seed=42, recover_e=0, save_dir='./outputs/v2_dt_e15_b16_2/', shuffle_p=0.5, shuffle_state=True, slot_token='[SLOT]', test_data='test_dials.json', test_data_path='./data/v21/test_dials.json', train_data='train_dials.json', train_data_path='./data/v21/train_dials.json', use_cpu=False, use_dt_only=True, use_full_slot=False, use_one_optim=True, vocab_path='assets/vocab.txt', word_dropout=0.1)
### mkdir ./outputs/v2_dt_e15_b16_2/
### Device: cuda
### Random Seed: 42
{'delete': 0, 'update': 1, 'dontcare': 2, 'carryover': 3}
# test examples 7368
### decoder_teacher_forcing: 1
# train examples 54984
# dev examples 7371
### word index of '-',  1011
config.type_vocab_size != state_dict[bert.embeddings.token_type_embeddings.weight] (4 != 2)

### Done Load BERT
### Use One Optim

time 0.0 min, [1/15] [0/3437] mean_loss : 14.243, state_loss : 1.598, gen_loss : 10.868, dom_loss : 1.777
time 1.4 min, [1/15] [100/3437] mean_loss : 13.492, state_loss : 0.760, gen_loss : 9.750, dom_loss : 1.669
time 2.8 min, [1/15] [200/3437] mean_loss : 10.902, state_loss : 0.348, gen_loss : 7.170, dom_loss : 1.626
time 4.1 min, [1/15] [300/3437] mean_loss : 8.180, state_loss : 0.234, gen_loss : 5.044, dom_loss : 1.529
time 5.5 min, [1/15] [400/3437] mean_loss : 7.028, state_loss : 0.205, gen_loss : 3.956, dom_loss : 1.548
time 6.9 min, [1/15] [500/3437] mean_loss : 6.373, state_loss : 0.235, gen_loss : 5.346, dom_loss : 1.468
time 8.3 min, [1/15] [600/3437] mean_loss : 6.127, state_loss : 0.229, gen_loss : 3.859, dom_loss : 1.356
time 9.6 min, [1/15] [700/3437] mean_loss : 5.790, state_loss : 0.150, gen_loss : 5.145, dom_loss : 1.694
time 11.0 min, [1/15] [800/3437] mean_loss : 5.475, state_loss : 0.194, gen_loss : 3.194, dom_loss : 1.478
time 12.4 min, [1/15] [900/3437] mean_loss : 5.129, state_loss : 0.164, gen_loss : 3.682, dom_loss : 1.354
time 13.7 min, [1/15] [1000/3437] mean_loss : 4.645, state_loss : 0.144, gen_loss : 2.278, dom_loss : 1.016
time 15.1 min, [1/15] [1100/3437] mean_loss : 4.285, state_loss : 0.176, gen_loss : 2.620, dom_loss : 0.663
time 16.5 min, [1/15] [1200/3437] mean_loss : 3.847, state_loss : 0.185, gen_loss : 3.338, dom_loss : 0.549
time 17.8 min, [1/15] [1300/3437] mean_loss : 3.482, state_loss : 0.207, gen_loss : 2.988, dom_loss : 0.298
time 19.2 min, [1/15] [1400/3437] mean_loss : 3.247, state_loss : 0.223, gen_loss : 2.451, dom_loss : 0.356
time 20.6 min, [1/15] [1500/3437] mean_loss : 2.918, state_loss : 0.205, gen_loss : 2.490, dom_loss : 0.195
time 21.9 min, [1/15] [1600/3437] mean_loss : 2.857, state_loss : 0.194, gen_loss : 2.624, dom_loss : 0.059
time 23.3 min, [1/15] [1700/3437] mean_loss : 2.647, state_loss : 0.191, gen_loss : 2.522, dom_loss : 0.216
time 24.7 min, [1/15] [1800/3437] mean_loss : 2.577, state_loss : 0.110, gen_loss : 1.824, dom_loss : 0.227
